,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03,2024.03
주요재무정보,영업이익률,순이익률,매출액,부채비율,PER(배),PBR(배),ROE(지배주주),매출성장률
001060,14.53,11.12,1806.0,138.85,19.53,2.91,15.88,-11.902439024390244
001067,14.53,11.12,1806.0,138.85,19.53,2.91,15.88,-11.902439024390244
001065,14.53,11.12,1806.0,138.85,19.53,2.91,15.88,-11.902439024390244
096760,18.32,12.24,2230.0,234.24,16.06,1.78,11.68,-14.722753346080305
105560,10.1,4.56,233155.0,1136.74,6.7,0.46,7.49,26.820817423278175
002380,6.73,28.64,15884.0,141.42,3.41,0.34,12.62,0.3791708796764408
344820,5.34,2.34,3891.0,53.87,8.64,0.44,5.15,-11.265678449258838
009070,5.63,4.46,2043.0,152.47,4.25,0.41,10.18,0.14705882352941177
009440,-5.08,61.83,1565.0,219.8,0.77,0.26,40.17,33.6464560204953
119650,3.24,3.0,1003.0,586.67,-1.55,1.45,-71.44,-6.086142322097379
092220,-2.61,-1.23,609.0,27.29,-7.21,0.83,-11.67,32.6797385620915
003620,1.51,5.38,10018.0,139.53,26.17,1.08,4.03,35.14096856873061
016380,6.37,0.4,8186.0,70.36,3.8,0.37,10.24,-2.349994035548133
001390,4.74,2.93,22665.0,114.3,4.87,0.44,9.67,13.268365817091453
033180,-4.51,-131.26,393.0,139.4,-1.17,0.28,-25.04,36.45833333333333
015590,2.01,6.33,352.0,64.59,,0.76,,-13.725490196078432
001940,0.99,4.72,2581.0,13.52,4.63,0.26,7.4,-31.91769981535215
025000,6.78,8.05,2210.0,28.02,3.74,0.34,9.6,-3.535573985159319
092230,6.21,8.05,2910.0,33.15,4.17,0.24,6.51,-4.496225795864785
000040,-35.6,-69.02,131.0,983.0,-1.94,3.07,-94.48,-25.568181818181817
044450,18.55,10.49,1127.0,299.9,11.24,0.42,3.89,-11.815336463223787
030200,7.61,5.91,66546.0,129.84,8.97,0.55,6.58,-0.4934505652251929
033780,18.31,22.1,12923.0,44.53,13.76,1.17,10.18,-10.344109893159429
058850,2.95,2.36,2655.0,117.11,8.88,0.69,9.06,-9.969481180061038
058860,2.93,2.32,1453.0,135.04,8.04,0.44,6.33,-9.357454772301933
093050,5.51,4.7,4466.0,63.84,5.04,0.28,5.96,-21.428571428571427
003550,26.03,22.68,16238.0,12.78,12.17,0.52,4.44,-20.210309075721096
034220,-8.94,-14.49,52530.0,278.52,-1.87,0.68,-27.25,-28.97416135967225
051900,8.74,6.54,17287.0,32.85,42.64,1.16,2.9,10.305002552322613
051905,8.74,6.54,17287.0,32.85,42.64,1.16,2.9,10.305002552322613
373220,2.57,3.46,61287.0,84.52,125.56,4.47,3.65,-23.40369689925387
003555,26.03,22.68,16238.0,12.78,12.17,0.52,4.44,-20.210309075721096
032640,6.18,3.65,35770.0,134.06,7.23,0.51,7.26,-6.383312832055275
011070,4.06,3.19,43336.0,125.93,7.5,0.96,13.62,-42.66663138676475
066570,6.33,2.77,210959.0,150.89,24.01,0.84,3.55,-8.691963764007255
066575,6.33,2.77,210959.0,150.89,24.01,0.84,3.55,-8.691963764007255
037560,1.54,0.58,2672.0,142.95,-4.79,0.49,-9.52,-20.782686036169583
051910,2.28,2.94,116094.0,90.18,34.35,1.05,3.11,-11.61342388159698
051915,2.28,2.94,116094.0,90.18,34.35,1.05,3.11,-11.61342388159698
079550,8.77,7.93,7635.0,305.16,22.32,3.63,17.31,12.279411764705882
006260,4.1,1.52,59450.0,174.21,9.18,0.66,9.16,1.466095475414313
010120,9.03,7.67,10386.0,128.02,12.55,1.7,14.28,0.795807453416149
000680,4.69,1.57,3839.0,846.66,-82.36,0.64,-0.79,273.08066083576284
229640,5.39,4.43,1799.0,160.36,52.64,3.82,7.4,-9.95995995995996
108320,10.09,8.74,4583.0,39.45,12.23,1.31,11.11,-10.610493465964502
001120,2.93,2.6,37761.0,166.62,14.54,0.41,3.07,1.6528925619834711
108670,3.81,2.15,8495.0,200.81,5.21,0.47,9.25,-3.7611872663419055
108675,3.81,2.15,8495.0,200.81,5.21,0.47,9.25,-3.7611872663419055
383800,88.41,87.95,550.0,3.41,6.27,0.32,5.18,27400.0
38380K,88.41,87.95,550.0,3.41,6.27,0.32,5.18,27400.0
023150,7.2,-14.15,209.0,359.02,9.18,0.6,7.66,-25.886524822695034
035420,17.39,22.0,25261.0,45.87,20.86,1.21,6.27,-0.4296413086322428
181710,4.52,-0.8,6044.0,72.84,-26.63,0.51,-1.97,1.0195554069864616
005940,9.57,7.79,28944.0,674.38,6.86,0.54,8.06,4.657217240381835
005945,9.57,7.79,28944.0,674.38,6.86,0.54,8.06,4.657217240381835
034310,3.75,2.31,6835.0,162.23,70.88,0.6,0.88,-8.476164970540975
030190,14.2,14.35,1228.0,34.31,10.17,1.64,17.36,0.903861955628595
008260,17.52,12.68,767.0,86.1,3.02,0.55,19.96,0.261437908496732
004250,5.65,4.7,1098.0,47.09,11.22,0.55,5.07,-3.0035335689045937
